year,month,day,avg_temperature,precipitation
2021,12,25,-2.6,1.6
2021,12,24,1.85,8.7
2021,12,23,4.4,2.4
2021,12,22,4.9,3.4
2021,12,21,-2.4,6.5
2021,12,20,-1.05,0.0
2021,12,19,1.65,0.0
2021,12,18,4.25,31.3
2021,12,17,0.05,1.9
2021,12,16,3.0,0.7
2021,12,15,4.9,0.0
2021,12,14,2.55,0.8
2021,12,13,3.95,8.4
2021,12,12,3.09,3.9
2021,12,11,4.85,5.6
2021,12,10,2.75,11.3
2021,12,9,3.0,0.6
2021,12,8,4.35,0.0
2021,12,7,4.75,3.4
2021,12,6,1.95,6.2
2021,12,5,0.95,0.0
2021,12,4,3.45,2.7
2021,12,3,2.2,0.0
2021,12,2,6.1,0.0
2021,12,1,10.65,1.7
2021,11,30,10.25,16.5
2021,11,29,11.25,3.1
2021,11,28,10.55,24.6
2021,11,27,9.15,20.2
2021,11,26,8.4,2.8
2021,11,25,6.25,27.3
2021,11,24,5.0,2.0
2021,11,23,6.75,0.0
2021,11,22,4.15,0.0
2021,11,21,5.7,0.0
2021,11,20,5.0,0.0
2021,11,19,4.84,0.0
2021,11,18,3.95,6.6
2021,11,17,2.5,0.0
2021,11,16,4.45,0.0
2021,11,15,8.85,47.8
2021,11,14,9.0,52.5
2021,11,13,6.45,19.9
2021,11,12,9.9,1.0
2021,11,11,8.0,13.3
2021,11,10,6.55,0.3
2021,11,9,9.25,15.2
2021,11,8,7.35,0.6
2021,11,7,6.35,6.2
2021,11,6,6.85,3.8
2021,11,5,9.14,4.9
2021,11,4,10.85,15.7
2021,11,3,11.25,10.7
2021,11,2,8.25,10.8
2021,11,1,4.65,6.6
2021,10,31,4.5,0.0
2021,10,30,4.7,0.0
2021,10,29,7.35,0.0
2021,10,28,8.69,18.7
2021,10,27,10.35,0.3
2021,10,26,10.35,4.4
2021,10,25,11.95,1.9
2021,10,24,11.2,3.5
2021,10,23,10.35,0.6
2021,10,22,10.6,4.8
2021,10,21,14.05,3.8
2021,10,20,10.1,7.7
2021,10,19,8.25,0.0
2021,10,18,9.3,0.0
2021,10,17,10.95,7.2
2021,10,16,12.7,43.3
2021,10,15,10.75,30.1
2021,10,14,8.6,1.1
2021,10,13,7.25,2.7
2021,10,12,6.1,1.8
2021,10,11,7.3,0.0
